Name,Description
fynn,lynn was surrendered when his owner moved to conde he is entered had his teeth cleaned during surgery deformed and groomed now ready for his new home he is a good watch dog and loves to follow people everywhere very good with children playful and friendly adoption fees is at am entering teeth cleaning
little baby,please help me rescue this little babies about 2 weeks old and still breast feed i found this poor little baby in front of groceries shop alone may be he was abandoned by his mother i bring him back and try to feed him with babies food and milk from the bottle can eat all that but still he needs mothers milk i hope there is someone out there who have female cat who just deliver babies please help me or anyone who interested to adopt him can call me sap because its very pity watching him looking for his mother everyday that why i bring him home with intention to give him a better life i cannot take care of him because in working and i have nobody who can take care of him while in working because baby cat need more care and attention for the time being i only needs him after i got back from work and sometimes if i come home late he very hungry its hurt watching him like that so i begging for anyone kind hearted viewer out there who willingly to take care of him please contact me
silver tabby,a cut domestic short hair cabby kitten looking for new home she about 25 months old now she has thick grey fur with remarkable black stripes she has beautiful dark grey eyes a cut fluffy tail she is feeding on nibbled already but sometimes we gave her wet food canned fish as treat she is healthy very active playful she loves to play hide seek with her shillings in the garden she is under toilet petty training now is ready to go at daytime am 50 adoption fee would be paid to cat charity club can for reaching stray cats another am entering saying deposit would be fully refundable once the surgery is done anyone interested please call 
kecik,may did princess back did during bias open 4 book harp adler g said ja akin distal bill day bercerai such n landau man sending do 19909
freezer,freeze was captured in a cage at an apartment area when asked we got to know she was about to be dumped to another area by the apartment management she was rescued away and brought for saying and then to be released however due to her sweet and gentle personality we are trying hard to become her she loves eating and greet people with her friendly mews also responses to human talk by me she is active but behaves well puris a lot i hope you can adhere to below 1 provide all basic health care as necessary 2 must keep her strictly indoor only for her welfare 3 to update once in a while on her condition until fully adapted please give her a home and love she will love you back unconditionally we respectfully ask for potential adopted to visit freeze or we do house visit prior to final decision of adoption
chi chi,his senior dog is eligible for free basic grooving for life at our maggie door salon we have over sixty gorgeous rescued dogs available for adoption at our rehabilitation centre in band dakota cheeks we are looking for loving homes that can offer a clean environment with no cases or chains regular exercise and affection adequate nutrition and healthcare all adoption require a housecheck before being canalised wwwklpoochrescueorg
mimi,mania come dan memahami persian org
baby delta,our cat knit gave birth to four kitten on the and of january felt is healthy friendly and playful he has a long tail and is toilet trained his three shillings have found better homes with kind people i already have two adult cats and the nature of my job limits the time i can spend with my pets and being so young and playful i think felt deserves a home with kind people who could really play with and take care of him just like his shillings main characteristics felt maleslightly yellowish brown face with darker brown upper body and black stripes white under body and dooties playful and friendly anyone who is seriously interested in adopting adorable little felt please contact me
bentley,little gentle is a vagrant up who likes people this little boy is active and will make a good guard dog in the future if you wish adopt please call rescued supplies always come from a sad background their mothers are always abandoned and suffer a sad faith please give gentle a place in your home and hearts
kit kat,pus call to adoptviewfor more details very double calm gentle unlawful cat
cutiepie, a very gentle and sweet kittyhope you can give her a forever home thank you
jack,hi i m a cry mixed i here to look for a good home can be playful when u play with me mean while i can b very dedicated n protect u as a great guard dog so if anyone wish to adopt me please contact long thank you for sparing a time to read my profile pets profile name jack age 1 12 or breed cry mixed color cream gender male
no name,onya is a playful pet and we have it for 2 month absolutely healthy and well growing we just need it to go because of travelling it is completely toilet trained if anybody get we also offer its cat tower litter box and toys
kiki,wiki is a young active and playful kitten who is looking for a daring and loving home he is very affectionate and loves to muddle he is currently recovering from an eye infection but is otherwise very healthy please contact me if you are interested to adopt him i would be willing to provide transport to his new home if necessary i am also willing to sponsor entering if finances are an issue
 black kittens,6 weeks old on dry and solid food now and using the litter tray it would be great if you could take the 2 black kitten together thank you
kiddie,these kitten were born by our domestic cat the number of cats are increasing at our home since these kitten have older shillings that lives with us as well we are looking for a more comfortable place for them
picasso,terms and condition our adoption policy are as follow owner must bring pets back to our store to be entered at 6 months of age owner should keep in touch with rescue for the benefit of the pets pets must be kept indoors all adoption is free
mishka,cat for adoption
grace,i named her grace she was thrown out onto the streets about time to give birth she gave birth to four pus only 2 survived in a drain a villager and i saved her none of the enforcement with equipment to help take her pus from drain of the two persons i am smaller in size so i went as far as my head can stick inside the drain hole and got her two pus no sign of life of the other two we related her to a safer spot all this happened within vicinity of morning market of japan tk11 maman kinrara pushing selangor most recently her male up was adopted left now with only her girl up however i am afraid she might contact disease or other sickness from the villagers dogs they have a total of about dogs i have been feeding her each morning and evening i live in pushing jay i need to take her off the streets fast also because some of the dogs go about in packs before she learns their street ways and joins in the adoption fee is more to help cover some cost involved like rice chicken liver anyone wishing to adopt her and her remaining up please contact me directly or lise with malaysian dogs deserve better as made has stated they will provide some support to fostered i plan to say her with the help of medical support from made or other rescue no please help to find her a fostered better a permanent loving home thank you my name is carl voyna 
jiro,pus call or text aren
michael,pus give him a home he has been rescued from the pound them if u wish to give him a home pus kindly call front to the details all in the picture
viva,trained to use litter tray flexible with wet and dry food viva rescued with big maggot wound in one of her back legs she fully recovered now and healthy but only lost half of the paw good with care takes prefer someone without any other cats as viva had bad experience with previous owner we prefer someone can give attention to her
mikky,mania anti
 xiao hei,it is not the owner can give them a home
milo,mild boy was abandoned after his owner had a baby and claimed baby allergic to dog fur he is gentle weighs about was needs daily walks no tying up or raging only for klan valley if interested please introduce yourself where you stay and experience with dogs when you contact me update mild has some crystals in his urine he will need to be on special diet for a few months and taken for a blood test to ensure the crystals are cleared otherwise healthy and loves walks
pandas juniors,adorable
puppy female,found the puppy when i was logging around the neighbourhood i first saw her on monday night i think she has been abandoned by her sum no sign of the mother at all she needs a good home that would show her the love and care that she needs i would adopt her myself but i already have 3 dogs of my own
hero,here a little puppy named hero ready to struggle right into your heart if you would only take him home very playful timid at first but will warm up to you after a while 3 months old hero is currently being fostered in j and is urgently looking for a family to adopt him if anyone is interested please leave a message here pm have speed or whatsapp help me share hero adoption post friends thank you
oyen,very playful mania litter box trained well behaved but vain an siberia bursata an let me explain why add yuransbb vanya until cover balikkos vaksinpada g terminal ubtuk adoptboleh vol n warsaw say kalaw rash terminate add masalah thing adoption fees put bone running this is my sg mnjacurrently by adopt during skits i have to let go g sihathope add g said adopt this boy
orange,beautiful puppy looking for a home sweet home if u are willing to open or heart for this little beauty pus contact commitment to say her when due is compulsory
sachi and uma,miniature schnauzersachi eyes old and shit tu uma4yrs old for adoption both female and must be adopted together owner gave away cause her neighbors and management complain about her dogsobedient and toilet trained vaccine and deformed good with kiss and other dogs schnauzer is a little noisy but alert and protective both of them have always been carried in bag ok with bathing eat dry food protest chicken flavor screening will be done by me and if green lights i will only then pass the adopted to the person in charge thank you adoption fee am for both to cover for entering expenses adoption condition 1 tell me your experience on handling dog 2 love her unconditionally 3 if cannot take care of it anymore due to some reason please return it back but no such reason eg she is already old hard to care for it no dumping give updated whenever you have timeanyone who is interested please do pm or email me a msgthank you for viewing else for serious animal lover thanks after adopting such and ma is up to you whether you want the started pack
molly and bradley,folly and bradley are rescued cities bradley being the black male has a diamond engraved on his chest with long fur and a long tail bradley has light brown eyes and he loves to play a lot folly is a cream colored cat with chocolate tapped ear and tail she has blue eyes and she loves loves loves muddles they are both up for adoption to those who will love them fully and take special care over them please contact me if you are interested thank you for more photo ease message me
tikus,very cut and very clever able to go to sand for toilet always able to eat dried food and drink water fully independent now i have to give him up because doctor said i am allergic to cat fur free gifts if you adopt him 1 large pack of his favored dried food 4 pack of wet food 1 large pack of cat sands one tailor made kitten home kitten spray kitten beds everything 
renny,lovely puppy looking for a home sweet home commitment to say is compulsory if you are interested to adopt pus contact amy
babyboy,found at the carpal of an office building actually hiding somewhere near car engine and calling out for food very friendly kitten and easily adapt to car journey very gentle male kitten less than months old playful and get along well with adult cats vaccinated st round adopted must follow up with the and round of vaccination which due next month reform free of tricks and ear miles toilet trained eating both dry and can food would appreciate adopted cover the paid vaccination and reform medical card and receipt will be given
princess,very cut clever and mania little girl playful with kiss and gets along well with dogs house trained always goes in her litter box if she inside check the video to see her playing with our dog unfortunately we can keep her due to too many animals at home and galleries we rescued her from the back alley drain and now time to find her a new loving home and family
no name,ready for adoption 
mighty monty,adoption 31312 ann felix keg deformed 26312 money is a male kitty six weeks old very healthyhappy kitty with great appetite his shillings adopted last night and now he is alone waiting for a family to take him home weaned litter trained no fleas tricks mange ear miles nor any other physical parasites met has given injection to clear parasites that will also kill ear miles person wishing to adopt money please note the requirements for his adoption 1 initial vaccination 3 x and yearly face 2 entering by 6 months of age his shillings profile you may text or email to my handphone for inquiries thanks for viewing this profile
sam,i lived every where under a tree car empty buildings i have no where to go and hide when rains i can hungry many days as i can find food to eat i am fearful of humans as my front paw toes was chopped by a humans i was finally rescued and i wish to find a home to serve my new master
4 cuties,4 cities born in the garden of a friends house adoption fees rm30 each to help say the stray mon st come st serve update 28 orange is the only left among 4 kitten he is about 67 weeks old now and currently under my care litter trained orange has been deformed on the 68
groo,we found this dog roaming outside our house and was told that she has been around for the last few day since aug i already posted her at petfindermy in lost found yet nobody claim it since now she has been read to a good condition and ready for a permanent home she is a very intelligent and playful dog good at guarding house too anyone who is interested or know anyone who wants a puppy please whatsapp me at 
precious puppy,rescued at the so petrol station near the pushing morning market she is small approve ll x oh weighs 11kg chew soft brown eyes short brown coat mild gentle temperament her medical needs are currently taken care of by me she is fed with rice mixed with emigree dog food fresh water always available she normally cases herself only when taken for walks chew at the moment could do with giving her toys she has need of assurance of love and care at times so its good to give her some huge now and then timid due to the fact that most of the bigger dogs in the area usually attack her her helps got my attention otherwise i might not have noticed a up there serious dog fostered can call me as i am also looking for a fostered while seeing to it that she gets a proper home serious pet owners nonviolent please call me at pushing selangor to view puppy if want to take her please ensure that she cared for from start in sickness and in health til death do you part from each other i will not want to surrender her to someone who cares for her and then drop her off at some marketplace later on
bubui,hi few days ago add org bang anal during dean human say your did calm 23 mingle mass tu in not really sure now say day age did seminggu by did minus such tap sekarang say length study class pack and take cutup mass oak spent ut age did harp admit bone long klan an oak care than bare kitten ni landau cut and mania looking for loving and responsible new owner kitten ni toilet train landau pg litter box sending did mania give begun to je akin care than did start ni did still minus such guns both n man mann dam packet ut kitten tu blue vaccinated and reform ll
kiki,a cut foggy up for adoption need to a home location at band but pushing if have any question please call please do not hesitate to contact me if you have any question
bobby jr,i found bobby at let g bare he look so weak and he injure i think he been beaten by someone so i took him back to my place he so cut but sadly i can keep him since i only rent a room and at this place they dun let us to keep an animal i really hope someone can adopt him immediately and give a proper treatment as he not well yet if interested do contact me n u can pick up bobby at g bare tula tumour
putih,looking for a good home
coco,a nice companion guard dog only issue is now i dont time to take good care of her has been entered has 2 more grooving package worth am and a good size dog tunnel the cage is more for her resting corner door is always open unless the gas delivery man is here
sylvester,kitten found living at restaurant with sitting fostering until we find a home for them see mate as samantha on pathfinder uncertain of sex at this time will pay fee for never or say if you wish to adopt this cat repaid with met at the time of adoption please contact me at for details about kitten
tsukasa,found abandoned in an area full of dogs rescued and entered very friendly very mania loves to seek attention
maddie,owner must ensure they allow made to move around and not to be caged up very friendly and playful cat for adoption pus call for more infoviewing pus visit made at hartamas shopping centre every saturday from pm
dash tommy,albert tommy are very mania and affectionate cats they are extremely smart and later trained they are really close brothers and always play together so i would appreciate if someone could adopt them as a pair they like to sit by the window to enjoy the outside view but they never jump out if you are interested and could give them a home do callwhatsapp me at
factory pup neslo,toilet trained discipline playful and healthy
qq,qu is just like her name cut adorable and also very friendly she has a slight skin problem and is currently under meditation can easily be rectified with some extra care
arya,area is a rescue kitten she was found alone under a car on the streets she was severely dehydrated constipated malnourished and was fighting an infection at the time of the rescue she was taken to the met to be deformed and to get the proper meditation since then 3 months area has recovered and has grown into a cut and playful kitten area is really playful and enjoys the outdoor she is a keen explorer but she will always come back area is also very fond of muddling she will sometimes curl up on your lap or even lay next to you and sleep area is also quite intelligent she finds her way back she is also adorable because she will follow you around and will greet you at the door when you come home she is friendly with other humans and is good with kiss but sometimes she a bit too playful and jumps around area is really an adorable cat she is still small and growing ever since reaching her she has grown so much and is stronger and better now i would love to watch her grow and take care of her but my circumstances dont allow me to do that area deserves a proper home and an owner who will commit love and care for her
pekepoo girl girl ah fat,this is a pekepoo that mean people mix pekingesegirl girl is femalewhile ah fat is male need to find them a good owner that can take care of themboth of them is very playful playful and like to be with people around them for further information please call while sums will not be entertain
save me or ill die 50,please rescueadopt me from klan pound or i will be put to death by this week 28310 i dont want to dead i will love you immensely for saving me help please call adoption procedure this dog has been caught by males perbandaran klan and if nobody comes forward to adopt it it will be euthanized within a few days even owned dogs are also often caught and the owners are not aware for it those wishing to adopt this pet from klan dog pound please follow the procedures below 1 drive to must kurungan haitian leash sultan muhammad kawasan perindustrian band sultan sullivan pelabuhan klan tell for sat sun opening hours are am pm 2 secure a boring permohonan tuntutan asking sleeps temper 7 hair complete it ensure it is endorsed by the relevant officier stamped with relevant chop 3 provide a photostated copy of your identification card or passport with each application policies requirements stiffen day by day advisable to provide a copy of passport per application just in case secure extra application if there is any sinking of additional adoption dont expect any tendency even we committee members slaves beggars dont have any unless ok by big guy 4 please be compassionate put yourself in their shoes locked inside knowing its over they do know 5 i have seen them wasted much close to d days dont tell me they didn undergo heightened anxiety despair in anticipation of the end what worse their owners never came for them directions to klan dog pound 1 use less highway 2 head for north port till you see the signboard that writes melbourne 14 days then turn right 3 keep left and turn left at traffic light 4 stay beside lover and turn right at immediate traffic light 5 drive towards sultan sullivan industrial estate 6 go up first set of lover 7 keep left till you see must kurungan haitian signboard 8 turn left 9 drive on till you see gravel road work beside retention pond at the right 10 turn in and turn right till you reach a blueroofed pound
fei zai,please give me a home
brian,their pregnant mother was dumped by her irresponsible owner at the roadside near some shops in sprang jay gave birth to them at the roadside they are all healthy and adorable supplies already deformed vaccinated and ready to go to a home no tying or raging for long hours as guard dogs however it is acceptable to cage or tie for precautionary purposes interested to adopt pus call me
jay,jay is not available currently thank you jay is very loving dog he loves treats and loves to be pat his bark is loud that he makes a good guard dog
ah mao,my name than ok was a 66 year old man who has rescued and cared for 7 cats they are aged between 3 to 15 years over the years i have developed a number of illnesses which have rendered me incapacitated and under doctors advice i am incapable look after and care for these 7 rescued cats these 7 cats are rescued as stray in the vicinity of my abode in shah alarm and the streets of sprang jay all these 7 cats 4 females and 3 males are stayed and entered and are in good state of health they are fed on premium cat food all their lives namely science plan aims and matins an italian brand ever since they were kitten their medical needs have been watered for by healing rooms in sprang jay contact gabriel
luna,she very loving always ready for a pat on the head quiet and confident seeks attention only when you give it her tail and one of the ears are covered in grey fur the rest are snowy white only take dry nibbled easy maintenance is no cage confinement please except in incidence of illness or injuries
rocky,rocky is friendly he loves to eat and so playful its just 8 months puppy but its big size
no name,3 males 3 females adoption fee to cover cost of vaccination supplies will be vaccinated on the with november so i will only give them away after with november
blue,blue the miniature people was found abandoned on the street in early november he was suffering from skin problem least infection he was treated at the met and has recovered from least infection he used to scratch and chew himself until he is injured he still requires continuous monitoring and treatment for his hind legs as he may have met an accident before we foster him and he is currently undergoing politic treatment he is allergic to certain food hence he has limited choice in food but he can take certain liable he is friendly with humans and dogs except when he thinks the human is trying to apply antiseptic cream on him when he was injured back then he growled and snapped as he was in pain hence it is best that he does not go to a home with very young children as they may accidentally harm him and he would snap he is toilet trained and stays indoor he hardly barks if you are ready to adopt him as part of your family please send us a message to describe the following 1 your experience handling dogs 2 the environment you intend to provide him with 3 are you agreeable to house visit in the future and to send us regular updated please note that we do not entertain comments asking us to call you back please send us a message instead if you do not answer the questions above we will not reply you thank you for choosing to adopt
eva,
kittens different ages colours,please read full description before contracting me 4 x 3 month old kitten 3 white kitten 1 calico kitten 3 x five month old kitten 3 calico kitten kitten can be adopted separately i have been fostering these kitten for just over a week and half now they have been deformed but are not yet vaccinated as i need to wait about 2 weeks to see whether they are healthy to be vaccinated they were originally stray cats at someone house and the area was not suitable for the cats so i took in the mother and her kitten so that i can provide a foster home until they are adopted both lots of kitten come from the same mother the 5 month old kitten will get stayed very soon please contact me for further information you can whatsapp me
rooney dioh,money and dish are miniature bull barriers they are very high energy dogs they are looking for new home since i am leaving the country they are very closed to each others so i am looking for a new owner who are take both together the new owner must should have good knowledge of bull barriers must be very active person so that they can get every day walk and exercise they should be feed dawbarn diet or premium dog food own a landed property the dogs should not be use as fighting dog if you are interested kindly email me to
d5,for adoption
citam,i need help found this from outside my house rash during in dibuang epi jan ken skin music perayaanumah by do add 4 for kucingsy take camp ut amid during lagikucing in mix persian ply whatsapp me iskandar
ben,we bought ben when he was 4 months old he has been the love of our family since then due to personal reason we have moved into an apartment where pets are strictly prohibited ben is friendly and great with kiss he is playful active and obedient he is smart and housetrained he responded to commands such as come stay fetch off sit down etc
jackie,jacket is a 7 week old female kitten who loves mummy rubs and kisses she an absolute darling very affectionate playful curious and smart she been litter trained and can feed on her own were looking for someone who can love her and care for her with all their heart shell only be available for adoption in 23 weeks time actually but you can come visit if your interested in adopting her she currently on profit but twitching to taste of the wild cat food would prefer if she want fed friskies or whisky hope to hear from you soon 
cik siti wan kembang,cat for adoption
moon light, looking for someone who really love and adore catsand someone can share their love and time with her own pick collection call to make arrangement must adopt 2 of them for them to play together interested please call my
vader,made is a very loving cat who has always been indoors he is obedient and loves muddling
no name,playful and active kitten for adoption found one of the kitten at burgher stall near my house rest of the kitten showed up in front of my house on the next day we can keep the kitten as we stay in small apartment please sums and pm me if interested
no name,mixed breed interested please kindly email me
new mom re nameable ,i found her in a pack of normal snakes in a forest she is not hurt just fine she is about to give birth to kitten i would love to see if someone would adopt this mon please ready food and water for her and about the snake pack they did not bite 
sweet miko,mio is a very sweet and mild boy but dont let that sweetness fool you he is also very alert and he guards the house well did you know mio has the chest tail mio is now looking for a new home to love and protect the adopted is encouraged to contribute towards the vaccination and entering fee to support the continued reaching effort of other dogs and cats
no name,i found those 3 kitten bounded yesterday on my block i took them in washed them feed them and kept them warm they are about 2 weeks old and they need lots of care and love as in leaving the country soon i would like to find them a good place
d beauty,beautiful kitten picked up from the street mania kitten yet super active i personally love her soft coat and light brown in colour think is soames mixed the adoption fee is a deposit to ensure the kitten is stayed when she is 6 months old arrangement can be made either with my met hands paws in sunday was near man syria or your own met ill refund you full amountafter the surgery if you choose to send her to your own met or ill settle the bill for you and return the balance to you if you choose to send her to my met note ill not compromised to have her unfettered therefore the adoption fee is a must and will return the balance to you once she is entered basically it is a free adoption because the adoption fee is refundable i have 20 rescued cats at the moment so i hope someone will like her and free up my space for other cats if you are interested please email me or text me
charcoal racket,charcoal and jacket was rescued as they were trying to cross a highway in bangsar they are active and very comfortable with humans although very young they eat well drink well see poor well and seem to be toilet train so far so good i am searching for a home for them hopefully they get to stay together as they are shillings my dog is jealous of them and in afraid the kitten will attack my tortoise
beagle,finish 3 injection free skin vitamin pus call
buttons,buttons is among six shillings abandoned by their heartless owner in peri kembangan she has a cut black button nose all are healthy and adorable and need loving homes entering and vaccination are compulsory cost to be borne by adopted please call me if interested
baboo,baboon was born on 17 march he is a very friendly beautiful playful male with long tail toilet trained deformed and very healthy kindly to other cats and dogs all my pets are in and outside free lived animals you can also put the toilet outside they will go out for see if you are able to take care of him give him food play with him bring him to the met and let him stay in out your home you can call me to visit ba too let him be a part of you and your family and he will stay for ever by your side
2 abandoned puppies,these cut little supplies are waiting to be adopted soon or they will be abandoned to the street i will try my best to prevent that whoever can offer the supplies temporary shelter is also welcome anyone interested please call me or sums me any time
big foot,big foot was rescued together two other shillings at a water tower in pardon area he is such a quiet and gentle puppy and really adorable if you look closely he s got a forever smile requirement for adoption 1 adopted must be a dog lover and intend to provide him his forever home at least 10 to 15 year commitment to keep a dog 2 for house and not to be put in factory or commercial area as guard dog 3 no long term cage or tied to leash 4 provide the necessary medical attention potential adopted can view before deciding to adopt
comot,was babies born with dec mother are local cabby cat playful active adorable kitten they have start eating nibbled so separation will not be an issue
pick me watch my video clips,this kitten has been scolded by a neighbour who has amused and splashed boiling hot water on 5 cats in the apartment complex he had 80 bursal the way on his anus feet and paws despite having been severely injured by a human he seems to still have room to allow a human into his kitty space very friendly and affectionate towards humans if you are the type who love a cat regardless of their breed or color of their fur or lack of fur this cat would make a wonderful companion for you he has been with us for 1 month and his wound has healed i dont know if all the fur will grow back he has a lovely disposition and runs to you when he called looking for human who ready for a committed mutual companionship 4 she makes a more pleasant and compatible companion than many humans out there note she is still a cat hence do not leave food unattended she goes into her cage on her own to sleep now that she at paws the new owner can refresh her memory by training her to go to her cage and sit before putting her food down she has already adapted very well with human house rules watch her video call fostered mimi as of mon nov 4 i have to give her up to paws for good at sprang because i will be away and there no one home
dino,found this puppy at roadside a well behaved puppy do not simply bark i work long hours not able to spend time with him anyone willing to give this cutis a loving home adorable puppy
oyen,anal during until di adopt perfume berkeliaran seminar kawasan human say oak bell did tap day add seeker during di human dan during by that cemburu ask oak pull open say menard rang sang said menjaga dan beri basis saying sepenuhnya had during in rang sang bersetuju until mengambil during in peru members update bergambar strap began papa say testing open and jug peru vain strap began dan never arabia open tell mencapai your 6 began
joey,the puppy is currently taking shelter at sca severing peri anyone interested to adopt her may contact us via email or visit our webster at
zozo,too is rescued from pushing area her mother is a doberman big bone she is active and playful unfortunately she is scare of human adopted needs to be patient and let her to adapt new environment she is 3 months old decay weight fig her paws are big requirement for adoption allow to home visit monthly update his statussend his photo must not giving human food adoption fee am for cover his three times vaccination fee and entering fee
snoopyboy,i had 2 dog with me so i would like to let someone to have quality time and love with snowy
nikki and willi,2 kitten for adoption wiki and will born 24 july to a stray cat the mother went missing when they were only 1 month old and we have been taking care of them since then if you are keen to provide them with a loving home please call me cage as shown will be provided for free the only conditions 1 must take both kitten 2 loving home is a must thank you shameful usj14
garfu,graft is a double and sweet cabby boy who was rescued from a pet shop who kept him in a renown cagecorroded and narrow graft is a loving boy who loves muddles and graves tic he has been dewormedvaccinated and entered he is about 8 months old and a spurring machine
no name,letting go my kitten for free persian
bb2,for adoption
mushroom,rescued when she about 45 months old with broken bone fully recover after operation a very smart and playful with mischievous character
yam,hello this is a soames male cat he is one active playful cat well behaved cat litter trained never too see around short fur with blue eyes has been deformed recently but not yet stayed strictly for a family who is looking for an indoor cat as this cat is purrrfectt for you he is an adopted cat and was rescued when he was 2 weeks old almost died we took him in and cared for him the adoption fee of rm50 would strictly be used to purchase cat food as we have several other newly rescued cats as well or else you can buy us a fig green cat food skin coat flavour in replacement for the adoption fee he is in perfect health now however medical check up with a met is highly advised no cage carrier would be provided view to adopt if your okay you can take him home thanks whatsapp me at the given no to plan your visit to view am strictly no calls
flower belle,introducing pretty little flowerbelle female kitten 8 weeks old tricolored calico with hazel eyes handraised from 2 12 weeks age and is super humanloving this girl loves chest muddles she enjoys headbuttshandnuzzling softmannered and fast learner gets along with all people other cats and dogs has been vaccinated deformed twice and given flea meditation currently on re babycat nibbled dry already clever with the litterbox please read flowerbelle must be kept indoors at all times adopted must never her at the right age must be fed premium food no whisky friskies nibbled etc please drop me an email or call if you feel that you may be just the right person for this girl thank you
sky,i found this kitten yesterday near a drain covered with big red ants it is underweight weighs about go and is as big as my palm tried to feed it with kitten tune kitten biscuits cat milk and water but it refused to eat or open its mouth took it to the met met found 2 big red ant in its anus also another ant hooked on its body its literally in bones do says he around 67 weeks judging from the teeth but size of about 45 weeks after a check do said its intestines are very hard like rubber and filled with gas probably its not been eating and defeating for some time its body is also infested with fleas do also found out its hind legs were filled with pus due to an injury do said hell get it cleaned up and treated in looking for a foster home or adopted who can give this kitten a chance to live thank you update sky has recovered well she with a temporary foster and is looking for a permanent loving home she eats well and is active
little tiger,i found this up at a koptiam near my house in klan and it has a watched back caused possibly by scolding water or oil but has healed completely according to the met little tiger is extremely intelligent and obedient and after being with us just a couple of days is already responding to commands and is very playful but well behave as well he also mingled well with my other dogs so if you already have a pet he most probably could blend well with the rest he not a pick later and finish his share most of the time
tom 1,for adoption
5 cute puppies,5 females supplies abandoned at are damansara available for adoption urgently
harry,very mania litter trained eat chicken fish playful
, 
dawnollydukeafro era aka juu,thank you to all the kind souls who have give dawn only duke and jug new homes these are my cat has babies born on the they have greek names fro from aphrodite era from her dawn from poseidon only from olympia and duke he not so into greek mythology and wants a must century name they have a good appetitevery playful and quiet ideal for indoor cat owners on solid food and litter trained the kitten have been kept indoors but freely rooms the house if you take them home please do not cage them it burdens me to give them up for adoption i hope they find a home in your hearts and a family to love and paper them kindly sums me if you are interested sums only thank you
oren friends,toilet trained healthy
shino,no 3 out of 4 shillings playful and active as well 
meimei,name mimi age 1 month old healthyplayfulsmartunderstandscommand dont like being locked gloves to play and needs many sleep time need a owner that takesgood care of her she is a dog that dont like being alone
happy 6 puppies,all are cut and healthy
money,female dog for adoption we believe that she is a dachsun mix mongrel breed and wont grow big anymore she has a short leg and long body suitable to stay in a conde apartment less barking
coco,name cock breed mixed breed gender female age eyes old approximate color white with brown spot size medium coat short vaccination yes reform yes health excellent location but mertajam training home trained she is a very obedient dog and able to follow basic commands such as come in out sit down stay weeden propos etc an excellent watch dog and had been trained not to step out of the house compound even when the gate is wide opened for adoption please contact mr than at
pippo,pipes mamma is a stray cat in our neighborhood that we feed everyday since 23 years ago we managed to catch the whole family 1 week after the mamma gave birth to 4 duties now in fostering all of them in going to say the mamma once the babies mean off now they already 6 weeks and ready to go to their new family in one or two weeks time pipe is the only one who does not have adopted yet please text me at if you are interested kuantan area serious adopted only note adopted will have to sign an adoption agreement by kuantan animal rescue education are and agree to 1 keep the kitten as an indoor pet and only feed them premium food 2 give the kitten medical care vaccination food shelter and also love 3 say the kitten once she is old enough or deemed suitable to undergo the procedure
polka dots,alsatian cross rescued from the street she is now currently under was care toilet trained well behave during off leash
coco,hi cock is a rescued puppy from the streets if you would like to adopt her pus contact me she is very active and is very friendly with other dogs
big tummy gal,here comes the big mummy gal she indeed cut rarely to see a 1 month old up carrying a big mummy although had been deformed i found these group of puppy in pushing without any hesitation i immediately brought them to the met for boarding can bring them back to my house as in staying in a condominium where the owner of rented house will not allow me to keep pet in home unfortunately there some puppy still in the drain but i couldn get them out as its covered with concrete which couldn be removed its really heartbroken hearing the puppy voice coming out from the drain now in here urge is there any kind papamummy who is willing to give the 4 rescued puppy a forever home now left 1 female up the others had been adopted have found a happy family pleaseplease save them they are all deserve love care just like human thank you
mou mou,i rescued him on feeble waiting outside everydaylooks pity when raining timeshaking body and catch coldafter next morning decide to rescued him and put in my friend shelter for temparoryhe not able to take cares hope can help him to find a forever home is very playful and tender dog
rescued kittens and cats,we have rescued kittenscats for adoption most of the time we constantly have new kittenscats coming in from rescue adoption from adopted instead of keep editing our ad do contact us for more into you may contact us for availability viewing of kittenscats basic adoption care will be provided were are based in opening all daring people who are willing to commit on adopting giving these rescued kittenscats a chance do contact us april callsmswhatsapp ellen callsmswhatsapp sally smswhatsapp only or email us at saveourstrays at com or find us in ff page save our stray opening thank u for viewing
bulldog fluffybrown,supplies for adoption hi in cut adorable and playful supplies looking for a home who will love and care for me first dose of reforming is given please pm if interested thanks left two more
miumiu miko snow,looking for kind souls who wants to adopt this beautiful mon mimi with her two sweet kitten mio snow aged around 45 months pus contact me for me details to so much
no name,
blue eyed dolls,found these cut ll creatures on the types of my car very adorable white ones friendliest than the darker coloured one think they are from the same litter please adopt both my parents dont allow me to keep them is please call or text me i dont check my email that often thanks and have a nice day 
curly,rescued kitten pus call
cleopatra,please feel free to contact us mr an
jaffe,coffee is an adorable cat who absolutely loves human companionship she is active and can be kept indoors as well looking for a good home for her please sums me at if u are interested
billy,rescued 12 month old male cat for adoption the cat was rescued at 4 weeks old and lived with us ever since he is an indoor cat does not go out as we live in an apart however he could adapt to a land house situation he has been sterilised and he has had his inoculationsthe cat is still very playful but has a pleasant character sadly exists we have to return to the up by the rd of july we would like to see the cat go to a good homekindly email us on or telephone mobile nos
shepa,cut and intelligent puppy looking for a home sweet home if u are interested to adopt pus contact amy 
